PM2.5,PM10,O3,SO2,CO,Wind Speed,Temp
33.0,69.0,26.0,2.0,360.0,4.0,25.0
33.0,69.0,26.0,2.0,360.0,2.0,27.0
26.0,42.0,8.0,4.0,521.6666666666666,1.0,28.0
33.0,69.0,26.0,2.0,360.0,3.0,27.0
26.0,42.0,11.0,1.0,731.0,2.0,28.0
36.0,54.0,17.0,23.0,757.0,9.0,22.0
37.0,55.0,18.0,22.0,754.0,17.0,29.0
35.0,52.0,17.0,23.0,766.0,20.0,26.0
36.0,54.0,17.0,23.0,757.0,15.0,26.0
41.0,60.0,21.0,18.0,728.0,17.0,28.0
38.0,57.0,21.0,17.0,716.0,16.0,27.0
36.0,54.0,17.0,23.0,757.0,19.0,28.0
35.0,52.0,17.0,23.0,766.0,20.0,28.0
41.0,60.0,21.0,18.0,728.0,16.0,26.0
36.0,54.0,17.0,23.0,757.0,17.0,27.0
41.0,60.0,21.0,18.0,728.0,18.0,27.0
10.0,41.0,36.0,7.0,520.0,26.0,25.0
32.0,50.0,20.0,55.0,1379.0,25.0,26.0
34.0,51.0,10.0,22.0,458.0,24.0,27.0
32.0,50.0,20.0,55.0,1379.0,26.0,25.0
33.0,50.0,21.0,49.0,1291.0,23.0,25.0
10.0,41.0,36.0,7.0,520.0,27.0,26.0
32.0,50.0,20.0,55.0,1379.0,24.0,26.0
32.0,50.0,20.0,55.0,1379.0,22.0,27.0
10.0,41.0,36.0,7.0,520.0,27.0,26.0
32.0,50.0,20.0,55.0,1379.0,23.0,27.0
10.0,41.0,36.0,7.0,520.0,27.0,26.0
17.0,21.0,1.0,9.0,116.0,3.0,26.0
17.0,21.0,1.0,9.0,116.0,5.0,26.0
7.0,10.0,1.0,6.0,98.0,3.0,25.0
17.0,21.0,1.0,9.0,116.0,3.0,30.0
7.0,10.0,1.0,6.0,98.0,1.0,22.0
17.0,21.0,1.0,9.0,116.0,3.0,27.0
17.0,21.0,1.0,9.0,116.0,4.0,27.0
7.0,10.0,7.666666666666667,6.0,98.0,4.0,27.0
7.0,10.0,4.333333333333333,6.0,98.0,2.0,27.0
17.0,21.0,1.0,9.0,116.0,3.0,24.0
17.0,21.0,1.0,9.0,116.0,3.0,27.0
17.0,21.0,1.0,9.0,116.0,5.0,26.0
1.0,10.0,1.0,16.0,40.0,5.0,18.0
28.0,51.0,17.0,39.0,560.0,9.0,31.0
24.0,34.0,8.0,4.333333333333333,162.0,6.0,21.0
23.0,31.0,23.0,10.0,280.0,9.0,31.0
22.0,32.0,1.0,1.0,47.0,13.0,30.0
1.0,10.0,1.0,16.0,40.0,4.0,22.0
25.0,39.0,21.0,22.0,392.0,9.0,31.0
23.0,33.0,18.0,5.0,48.0,8.0,21.0
